trail,mean,std
0,46.19,11.526226615853094
1,46.37,11.7717076076498
2,43.36,15.458020571858475
3,46.92,9.832273389201493
4,45.42,12.244329299720741
5,44.1,14.324454614399801
6,43.75,14.308301786026181
7,45.56,12.361488583499945
8,45.81,10.84960367939769
9,45.06,13.097954038703902
10,43.85,14.234728659163123
11,45.07,13.005579571860677
12,43.26,14.915508707382399
13,43.33,14.435411320776423
14,40.69,16.958593691695082
15,43.78,13.735778099547167
16,43.04,14.36378780127302
17,42.24,14.845955678231025
18,40.67,16.28499616211194
19,42.27,15.524081293268202
20,40.51,16.70358943460955
21,42.94,14.329563845421118
22,42.08,14.17651579197088
23,41.15,16.224903697711103
24,40.5,15.964022049596398
25,40.84,15.837120950475814
26,41.86,14.778376094821791
27,40.99,15.887413257040938
28,37.4,17.83367600916871
29,40.02,16.89732523211883
30,39.27,17.417149594580632
31,43.51,13.741539215095232
32,40.03,16.453239802543454
33,38.72,18.072675507516852
34,39.89,17.120686318018922
35,39.77,16.824895244844765
36,38.55,18.31631786140436
37,37.25,18.005207580030838
38,39.13,17.175945388827955
39,38.95,17.07710455551526
40,40.41,16.47549392279334
41,38.0,17.820774393948206
42,40.9,15.12382226819663
43,40.33,17.161617056676228
44,39.12,17.21004357925918
45,38.75,17.189749852746548
46,37.87,17.895057976994664
47,38.23,18.5293577870362
48,40.13,16.7789481195932
49,41.47,15.874794486858727
50,39.17,16.72366885584619
51,36.71,18.668848384407653
52,39.95,17.21184185379356
53,39.55,16.793674404370226
54,37.22,18.431809460820705
55,36.95,18.36484413219999
56,36.89,18.21477147811633
57,35.64,19.113618181809528
58,38.25,17.19265831685141
59,38.03,17.358257401018122
60,33.02,18.20932728027041
61,37.7,17.607668783799863
62,34.25,20.144167890483835
63,35.29,18.95642107571996
64,35.65,18.11318580482186
65,33.98,19.46277472510022
66,36.47,17.973010321034153
67,35.72,19.00688296381076
68,34.83,18.502461998339577
69,35.41,17.866222320345166
70,36.86,18.05160380686436
71,33.04,19.401505096254777
72,32.23,18.736517819488228
73,33.39,18.94829543784876
74,33.14,19.47101435467603
75,33.21,18.59962096387988
76,32.54,19.33619404122746
77,32.8,19.418032856085087
78,32.82,18.691912689716908
79,32.69,19.166478549801475
80,29.56,19.86772256701809
81,38.61,17.15861008357029
82,29.11,19.851395416947394
83,32.54,18.52534480110965
84,34.83,17.83426757677477
85,31.0,19.41906279921871
86,31.19,19.81549646110336
87,33.08,19.201395782598727
88,32.18,18.74160078541852
89,34.24,18.930462223622538
90,32.76,19.691175688617484
91,33.11,18.754676750080225
92,35.69,17.549754984044647
93,32.95,19.167876773393555
94,29.82,20.181863144913066
95,34.13,18.696874070282437
96,33.98,18.678854354590378
97,31.67,20.140037239290297
98,33.29,19.137552090066272
99,32.34,19.467521670721204
100,30.74,19.521075790027552
101,31.4,19.61631973638276
102,31.39,18.672383350820535
103,32.75,18.574915881370767
104,31.35,19.114065501614245
105,30.69,20.01534161587057
106,30.1,19.525624189766635
107,32.2,19.6718072377705
108,27.61,18.863666133601914
109,31.15,19.17204996863924
110,31.75,18.681207134443962
111,30.1,19.757783276471066
112,30.59,19.54282221174823
113,27.35,19.43264006767994
114,30.08,19.416323029863307
115,32.81,18.57347301933594
116,31.45,19.093127035663912
117,29.08,19.425591368089677
118,30.67,19.073046426829666
119,27.68,19.18691220598041
120,34.8,18.400000000000006
121,29.38,20.22265066701197
122,28.41,19.25777505320903
123,26.88,19.5239750051059
124,26.61,20.26321544079321
125,29.98,20.45335180355533
126,28.68,19.261297983261663
127,23.75,19.514289636059008
128,27.42,19.167253324355052
129,30.21,19.770328778247467
130,24.81,18.53035077919466
131,26.42,19.74901516531901
132,30.43,18.86650736092931
133,30.99,19.697459227017067
134,31.26,18.72678295917374
135,28.09,19.267119660187923
136,27.14,19.39279247555648
137,32.12,19.82285549561415
138,29.09,18.88549443355932
139,29.32,19.317805258362046
140,26.77,19.048808361679743
141,27.63,19.053427513179876
142,28.06,20.341002925126382
143,24.36,19.338831402129752
144,28.2,19.272778730634563
145,31.54,18.418697022319463
146,26.5,18.729922583929707
147,24.98,19.397412198538234
148,28.84,19.605468624850563
149,24.97,19.028113411476184
150,28.3,19.45995888998741
151,28.35,19.639437364649737
152,27.05,18.734126614283355
153,27.01,18.89893912366511
154,30.11,18.44120115393788
155,26.84,19.471373860105512
156,28.02,18.819659933165635
157,30.17,19.094530630523494
158,27.48,19.476385701664455
159,27.76,18.693378506840332
160,27.0,19.10863679072895
161,29.23,19.847848749927536
162,25.92,19.49701515617198
163,28.33,18.87858840061936
164,28.47,19.02495992111416
165,29.74,19.412686573475604
166,25.33,19.499771793536453
167,26.19,19.079672429053907
168,25.57,19.860641983581495
169,26.27,18.87636352690846
170,25.8,19.024720760105783
171,25.4,20.043452796362214
172,28.05,19.579772725953692
173,26.62,18.684635399172233
174,27.18,18.65710588489008
175,27.2,19.553004884160384
176,23.28,18.84254759845388
177,24.63,19.255469352887765
178,26.21,18.96696865606099
179,24.96,18.77387546565706
180,26.37,19.81345754783854
181,25.99,18.97656185930423
182,26.57,19.49782295539684
183,25.19,18.421017887185283
184,23.41,20.140057100216975
185,27.57,18.98170434918845
186,25.79,18.378408527399756
187,26.38,18.060332222857916
188,23.55,17.9032818220571
189,22.71,18.933195715462304
190,23.91,19.040533080772718
191,23.16,19.159185786457634
192,25.61,18.845102812136638
193,25.52,18.859204649189213
194,24.87,19.250275322706422
195,25.36,18.663075845101204
196,26.8,18.574175621006713
197,22.51,18.805049853696207
198,25.83,19.243728848640544
199,22.39,19.644284155957425
200,25.64,18.570686578584002
201,23.84,17.998733288762296
202,21.91,18.213234199339777
203,25.07,19.438752531991348
204,22.28,17.959999999999997
205,25.99,19.58340879418085
206,23.5,19.30673457630782
207,22.36,18.374177532613533
208,24.76,18.64892490198832
209,23.94,18.656269723607664
210,24.43,19.255780950145855
211,20.3,17.60482888300821
212,24.38,18.826991262546436
213,21.0,18.595698427324532
214,26.35,18.52586030391031
215,25.07,19.353167699371593
216,21.73,18.568712933318785
217,24.77,17.905225494251667
218,21.58,18.35002997272757
219,20.16,18.583713299553448
220,24.13,18.427509327090302
221,23.17,18.549962264112562
222,24.43,19.27550518144725
223,23.9,18.889415025352154
224,24.1,18.221690371642257
225,23.47,17.31441884673002
226,24.11,18.319877182994425
227,22.1,18.326210737629314
228,25.05,18.77837852424964
229,24.16,17.902915963607718
230,20.51,18.643763032177812
231,24.34,19.044799815172645
232,19.71,17.565474659114685
233,23.96,18.349888283038677
234,19.82,17.898256898368622
235,24.2,18.552627846210896
236,23.91,18.612412524979135
237,23.46,19.55935581761322
238,25.63,19.230005200207305
239,19.1,17.387064157010517
240,20.54,17.208962781062663
241,20.29,17.56775170589566
242,21.61,17.19296076887282
243,21.33,17.179671126072233
244,21.41,18.237376456058584
245,22.79,19.055862614953956
246,20.68,17.768443938623328
247,26.18,19.394525000628402
248,24.94,19.14827407366001
249,26.67,19.399512880482334
250,20.91,17.62617088309313
251,20.77,18.09245975537875
252,22.86,17.590918111343708
253,21.31,18.57670315206657
254,20.83,17.391983785641017
255,21.88,17.616060853664194
256,22.92,18.34866752655353
257,22.91,17.828121045135408
258,20.66,18.148950382873387
259,22.07,17.38232147902
260,21.34,18.833066664778737
261,20.18,17.32245940967968
262,21.59,17.634678902662227
263,24.52,18.643754986590015
264,20.55,18.220524141747408
265,22.76,18.618335049085346
266,20.03,17.397962524387736
267,21.98,18.293157190599985
268,23.95,19.01282461918797
269,21.7,17.53482249696301
270,21.84,18.819521779258892
271,21.28,18.174201495526567
272,20.39,17.27998553240135
273,21.48,18.466986760162037
274,20.15,17.27621196906312
275,20.98,17.286399278045156
276,22.81,18.85507623957007
277,26.08,18.321397326623313
278,20.14,18.145533885780267
279,25.36,18.89683571394957
280,19.26,16.950881982952982
281,21.4,18.04328129803445
282,22.68,17.50992861207606
283,19.13,16.834283471535105
284,19.82,16.468989040010925
285,21.03,16.961400295966133
286,23.07,18.241302036861295
287,23.0,17.6
288,19.03,16.215705350061093
289,20.03,17.788454120580575
290,17.97,16.44533672504154
291,21.14,17.6691935299832
292,16.88,17.353547187823015
293,20.54,17.18104769797232
294,19.04,16.707435470472422
295,18.72,16.85531370221273
296,22.22,18.089543941183265
297,20.31,18.03146971269952
298,18.03,16.07821818486115
299,20.21,17.71287384926568
300,18.29,15.874063751919351
301,20.52,17.86027995301306
302,20.24,17.703739717924005
303,19.3,16.396036106327657
304,21.04,18.139415646596778
305,20.34,17.967314768768315
306,18.87,15.730006357277801
307,20.26,18.65455440368384
308,18.97,15.800920859241083
309,21.82,17.204871403181137
310,18.55,17.069490326310277
311,21.36,16.822318508457744
312,17.7,15.814866423716644
313,20.51,18.067924617952116
314,18.06,16.613741300501825
315,17.19,15.301434573267958
316,19.89,17.14286732142555
317,17.89,16.11328334015138
318,20.31,18.11170615927721
319,18.38,15.999237481830185
320,21.98,17.621566332196462
321,18.39,16.624015760339017
322,18.48,16.67002099578762
323,19.7,17.79747173055769
324,15.43,15.10248655023404
325,21.31,17.10303774187498
326,17.91,16.1901791219245
327,19.44,16.550722038630223
328,17.18,16.981389813557662
329,19.01,16.76156018991072
330,19.04,18.046561999450198
331,16.52,15.33980443160864
332,16.58,15.642365550005534
333,16.83,15.467420599440613
334,17.6,16.700898179439328
335,18.13,15.859795080643387
336,17.14,16.2603935991722
337,17.37,16.116857634166777
338,19.71,17.62174508951937
339,18.95,16.687345504902815
340,17.97,15.150217820216316
341,20.39,17.180160069102968
342,17.59,16.574133461511646
343,17.5,16.977926846349646
344,17.23,15.620406524799536
345,18.86,16.382930140850878
346,16.23,15.142559228875408
347,18.91,17.227939516959076
348,19.49,15.920738048218743
349,18.88,16.78587501442805
350,17.51,16.019048036634384
351,16.62,16.002362325606803
352,18.28,15.138744994219298
353,17.15,14.313193214653396
354,17.14,16.47180621547012
355,16.17,15.555098842501767
356,13.03,14.064462307532414
357,15.43,14.047957146859467
358,17.54,16.219383465471186
359,16.7,15.511608556174954
360,16.05,14.490945448796644
361,16.36,14.495185407575857
362,18.89,15.635789075067494
363,18.71,17.01898645630814
364,17.6,15.12283042290695
365,17.12,16.250710753687052
366,18.74,16.222589189152263
367,19.6,18.185708674670884
368,15.96,14.047006798603038
369,21.13,17.437691934427566
370,18.71,16.971915036318087
371,19.06,16.679220605292084
372,17.29,15.39954220098767
373,17.21,14.626889621515573
374,18.72,16.88199040397784
375,19.76,16.59766248602496
376,17.95,17.049560111627518
377,14.08,13.525294821185973
378,14.57,14.480507587788484
379,17.62,16.21220527873984
380,18.37,16.57869415846737
381,17.11,15.20519319180128
382,15.8,15.659501907787488
383,17.14,16.36155249357469
384,19.5,16.5779974665217
385,18.46,14.682928863138988
386,15.59,14.411172748947255
387,18.81,16.036642416665654
388,15.16,15.399818180744864
389,16.41,14.372957246161976
390,15.54,15.314973065598254
391,17.17,15.801300579382694
392,17.21,15.671818656429126
393,17.34,16.83046048092565
394,17.19,16.56242433944983
395,17.48,16.32083331205855
396,14.39,14.848498240562915
397,18.86,16.384761212785495
398,18.08,16.481917364190373
399,16.97,15.81547027438641
400,14.15,13.95017921031841
401,14.2,13.552859476877934
402,17.0,16.32360254355637
403,17.4,16.296625417551937
404,15.03,14.90399610842676
405,18.72,15.91293813222436
406,14.52,14.415602658231107
407,16.76,16.949997050147235
408,15.5,13.786587685138045
409,17.64,15.830047378324553
410,15.3,15.28234275234004
411,15.53,14.653637773604204
412,14.3,13.971757226634026
413,14.1,13.818465906170621
414,16.24,15.409815054049158
415,15.17,15.266338788327733
416,17.39,15.143246019265481
417,15.36,14.418404904842975
418,15.56,15.29857509704744
419,16.55,15.374247949086813
420,16.13,14.134111220731212
421,17.03,15.13833214062897
422,16.31,15.294897842091006
423,16.93,15.33639788216255
424,16.45,15.270478054075456
425,16.13,15.025082362503051
426,17.05,16.36482508308598
427,16.66,14.749386427916248
428,17.71,15.488896022635053
429,16.21,14.682162647239677
430,14.86,14.060597426852107
431,14.92,15.030422482418782
432,15.82,14.957526533488087
433,14.3,14.542695761102893
434,15.15,13.7930235989068
435,16.64,16.960259431978038
436,13.61,13.478052529946599
437,16.5,15.214795430764095
438,14.97,14.333495735514067
439,16.32,15.377828195164623
440,17.39,15.279983638734697
441,14.82,13.886237791425001
442,17.47,15.591956259558966
443,15.46,15.220000000000002
444,13.62,13.749021783385174
445,14.37,12.84107082762181
446,16.28,16.270267361048496
447,18.6,15.943650773897426
448,16.38,15.720547064272287
449,15.05,13.62818770049782
450,14.52,14.689097998175374
451,15.35,13.407740301780906
452,16.93,15.891667628037029
453,16.06,15.012541423756337
454,16.44,15.184413060767282
455,14.57,13.226681367599355
456,16.64,15.604178927454015
457,12.01,12.3478702617091
458,14.29,13.203253386949745
459,16.14,15.079801059695717
460,14.98,14.368702098658733
461,16.2,14.959946523968597
462,14.07,13.379278754850729
463,14.24,13.053060943702052
464,13.58,13.021658880495986
465,15.7,14.211614968046383
466,14.74,14.136208826980445
467,13.17,11.598323154663353
468,14.85,13.848736404452207
469,15.03,14.583864371283765
470,14.29,14.343845370053318
471,15.82,13.672146868725482
472,15.24,14.19092667869156
473,14.67,12.794573068297355
474,14.95,13.961643886018585
475,14.67,13.559539077712047
476,13.77,13.615325923385011
477,16.01,15.588774807533786
478,15.06,14.190010570820585
479,13.39,12.8933277318154
480,15.9,15.243687217992893
481,15.97,13.98102642869972
482,15.49,14.365580392034294
483,13.65,13.609831005563587
484,16.52,15.50514753235196
485,13.77,13.7926465915719
486,12.69,12.176777077699994
487,17.31,16.150352937319973
488,16.03,16.19719420146588
489,15.47,12.536710094757716
490,12.51,12.159354423652598
491,14.35,13.08615680786379
492,16.59,15.525524145741423
493,16.25,14.259295213999884
494,15.23,14.908960392998564
495,14.48,13.96243531766575
496,12.91,12.293164767463255
497,13.98,13.373092387327619
498,16.16,15.279214639502905
499,14.41,13.222023294488633
500,15.97,14.406564475960254
501,15.4,14.386799505101889
502,14.34,12.85163024678192
503,13.33,11.996712049557578
504,14.6,13.29661611087573
505,12.91,12.427465550143364
506,14.61,13.92687689325931
507,13.37,12.152082126121433
508,13.38,13.688520738195196
509,12.6,11.749893616539685
510,14.92,13.441488012865243
511,14.91,12.619108526357953
512,14.29,12.055948739108006
513,15.71,15.26256531517556
514,13.99,13.584914427408073
515,13.68,13.089598924336835
516,13.21,13.5456967336494
517,14.03,13.71091171293871
518,12.47,11.455527050293231
519,12.47,12.247820214225879
520,14.3,13.214764470091778
521,13.43,12.363053829859354
522,12.35,10.779030568655047
523,15.36,14.66868773953553
524,12.86,12.242565090698921
525,12.52,11.881481389119793
526,13.09,12.22709695716853
527,14.1,14.208096283457536
528,14.74,13.486007563396958
529,14.23,13.259604066487057
530,13.13,13.928858531839571
531,15.15,14.041634520240153
532,14.87,14.01545932176324
533,14.64,13.200393933515773
534,13.46,11.080992735310318
535,13.42,13.429206975841872
536,13.1,12.297560733739026
537,14.03,12.696026937589568
538,14.58,13.967233083184366
539,12.26,11.90514174632121
540,13.46,14.042378715872891
541,13.32,13.721428497062538
542,12.08,11.869860993288842
543,11.21,10.360786649670958
544,12.76,13.21144957981523
545,12.96,12.479519221508495
546,14.51,13.699996350364476
547,11.74,11.323091450659579
548,13.89,12.66088069606534
549,14.02,14.413174528881555
550,11.29,10.587062859924844
551,12.17,11.503960187691895
552,11.01,10.749413937513056
553,13.64,12.406869065159025
554,14.51,14.346076118576812
555,12.99,12.11981435501386
556,14.33,12.810975762993229
557,12.97,12.433386505695061
558,12.96,12.808528408837606
559,11.95,11.890647585392484
560,11.62,11.110157514634976
561,14.45,13.131926743627535
562,12.9,11.628843450661806
563,13.06,11.841300604241074
564,10.87,11.157647601533219
565,14.95,13.149429645425691
566,14.3,14.129755836531647
567,15.0,13.664552682030978
568,12.7,12.914720283459493
569,13.91,12.219734039658967
570,13.45,12.759604225837101
571,13.23,12.633174581236496
572,11.33,10.031006928519192
573,13.01,12.471964560565427
574,12.31,11.85216857794387
575,12.3,11.37673063757774
576,13.39,11.223987704911298
577,11.79,11.569178881839456
578,13.43,11.90567511735475
579,11.96,11.216880136651188
580,10.43,9.745003848126489
581,11.95,10.993065996345154
582,12.05,10.741857381291188
583,12.0,11.224972160321824
584,13.76,13.131732558958094
585,13.45,11.596874578954456
586,11.47,8.754947172884597
587,14.45,13.572306362589966
588,11.81,11.447877532538508
589,12.69,10.691767861303386
590,10.7,11.00681607005405
591,12.27,10.583813112484556
592,13.22,12.235669168459895
593,13.33,11.739723165390231
594,12.83,11.663665804540186
595,12.06,11.49244969534346
