trail,mean,std
0,42.9,14.625662378162565
1,44.62,12.400629016303975
2,41.09,14.823019260596002
3,40.0,17.35569070938982
4,40.98,16.685310905104533
5,40.74,16.271213845315902
6,38.64,16.847860398282023
7,36.07,17.56488257859984
8,37.62,17.926951776584886
9,39.37,16.332577873685455
10,34.78,18.99977894608249
11,35.94,17.58056881901152
12,34.55,19.250129869691786
13,35.8,18.373350266078305
14,31.5,20.338387350033432
15,33.12,18.2457008634911
16,32.28,19.431459029110503
17,34.1,18.73899677143897
18,32.61,18.678273474815605
19,33.37,18.992448499337833
20,30.67,18.311228795468644
21,29.38,19.366868616273504
22,27.43,18.81714909331379
23,26.43,18.975908410402916
24,24.99,19.54814313432353
25,29.18,19.25948078220178
26,28.83,19.063082122259246
27,27.29,19.48245107782899
28,29.3,19.661383471159905
29,26.87,18.781190058140613
30,25.81,18.420475021019413
31,25.94,18.2048455088199
32,24.24,18.360348580568942
33,25.75,18.115946014492316
34,25.32,18.570341946232443
35,23.1,17.88546896226096
36,22.98,18.15487813233677
37,23.94,19.15140725899796
38,23.32,18.917124517219843
39,24.05,19.17726518563061
40,24.08,18.623469064596954
41,22.12,18.343543823372844
42,21.68,18.331328375216025
43,23.76,18.13897461269517
44,21.07,19.08153819795458
45,21.68,18.406455389346426
46,18.82,17.10343825083132
47,20.37,17.66445866705233
48,19.06,16.089636416028796
49,20.1,17.902793078176376
50,20.31,17.286812893069676
51,18.82,17.204290162630947
52,17.94,16.386470028654735
53,19.04,17.713226696454825
54,21.87,17.604916926813374
55,23.37,18.711309414362216
56,19.75,17.438678275603344
57,22.26,18.44159429116691
58,19.71,16.790649183399672
59,17.53,16.88576619523082
60,14.71,14.737228368998014
61,18.09,15.626320744180315
62,16.74,15.35357938723085
63,17.66,15.660280968105273
64,17.53,15.275768393112013
65,15.48,15.311094017084471
66,16.98,17.364895623066673
67,16.0,15.388307249337076
68,17.02,16.42679518347995
69,19.25,17.44613137632524
70,16.97,15.460565966354531
71,14.89,14.73152741571627
72,17.3,16.599698792448017
73,16.27,14.512653099967627
74,16.89,15.3622231464069
75,14.71,13.366596425418102
76,14.64,14.540646478062797
77,16.18,13.821273457970504
78,14.53,14.13043169899632
79,16.81,15.195193318941353
80,16.19,14.021907858775853
81,14.85,15.690363284513197
82,13.25,12.613782144939716
