trail,mean,std
0,48.04,9.605123632728525
1,47.24,10.965509564083186
2,46.5,11.946129080166513
3,45.87,12.797386451928366
4,45.52,13.56869927443306
5,44.3,14.90939301246031
6,44.95,13.861006456964082
7,46.58,11.708270581089264
8,46.98,11.2738458389318
9,48.56,7.469029388079817
10,47.48,10.055326946449831
11,47.38,9.986771250008696
12,46.11,12.454633675865397
13,43.38,15.752320463982446
14,46.86,10.951730456873008
15,46.1,12.59801571677062
16,44.27,14.471941818567414
17,43.91,15.325857235404502
18,43.28,15.822186953768437
19,46.33,11.967501827866997
20,44.35,14.718950370186052
21,45.53,12.988806719633645
22,42.78,15.955300059854721
23,42.97,16.09686615462774
24,43.46,15.26199200628804
25,46.26,11.996349444726933
26,40.7,17.391664670180383
27,41.19,17.431979233581007
28,41.66,16.575415530236334
29,38.88,18.57701805995784
30,40.53,17.279152178275407
31,41.6,16.630694513459154
32,45.35,12.411587327977024
33,38.87,18.654037096564373
34,39.27,18.03100385447245
35,37.45,19.1402063729731
36,40.29,16.930620189467373
37,40.83,16.961754036655517
38,40.89,17.06920912051873
39,39.99,17.892174266980508
40,41.21,16.14824758294225
41,38.86,18.39131316681874
42,38.68,18.36239635777423
43,40.97,16.675404043080935
44,38.24,18.094816937454784
45,37.38,18.681423928598168
46,38.15,18.411613182988617
47,37.7,18.710157669031016
48,37.77,18.441179463364044
49,36.67,19.597987141540848
50,37.93,18.802263161651585
51,37.98,17.90473680342719
52,36.77,18.55308869164376
53,37.59,18.461362354929268
54,35.89,19.320918715216433
55,36.08,18.49847561287146
56,35.83,18.93148435807398
57,40.94,16.340636462512727
58,36.33,19.182312165117125
59,33.53,19.78102879023233
60,34.24,20.04949874685151
61,34.37,19.57020950322199
62,37.11,18.074233040436308
63,34.23,19.409201426127776
64,34.94,19.05246440752481
65,33.67,20.16088043712377
66,31.78,20.22057368127819
67,33.25,19.179350875355507
68,34.42,18.859045575001943
69,33.0,19.487431847218865
70,33.25,19.211650111325678
71,30.65,19.340307650086647
72,30.97,19.202840935653235
73,31.52,18.67162553180627
74,29.85,19.82895609960342
75,28.16,20.466421279745028
76,30.86,19.52332963405576
77,30.31,20.460056207156427
78,31.56,19.027516916297827
79,32.41,19.01057337378334
80,30.5,19.464069461446133
81,30.39,19.030972124408155
82,26.7,19.42549870659695
83,29.54,19.152764813467535
84,27.8,20.230669786242856
85,27.91,19.084598502457414
86,29.68,19.361239629734452
87,26.98,18.789880255073474
88,27.68,19.59534638632347
89,25.56,18.653857509909315
90,29.62,19.547777367260974
91,27.41,18.926222549679576
92,26.15,19.43881426424976
93,27.21,18.74475660018022
94,28.48,19.389419795341993
95,25.8,19.61020142680844
96,24.51,17.908933524919895
97,26.36,18.952846751873455
98,24.39,19.049354319766326
99,27.8,18.372805991464674
100,24.93,18.652214345755304
101,25.33,18.193985269863223
102,26.96,19.32196677359735
103,26.67,19.057310933077627
104,25.15,18.25287648563918
105,24.71,18.422429264350562
106,24.9,18.47782454727828
107,22.87,18.853994271771697
108,26.99,18.695183871789016
109,24.96,18.38418885890808
110,23.41,17.9611219025984
111,24.75,17.850140055472956
112,24.08,18.614875771812173
113,25.08,18.64171665914917
114,21.16,17.161421852515595
115,22.41,17.85502450292354
116,23.27,18.80045478173334
117,24.61,18.645050281509025
118,22.27,18.436298435423527
119,23.9,17.508569330473573
120,22.84,18.167949801780058
121,23.91,17.290514740747305
122,22.53,17.741169634497044
123,21.7,17.74288589829738
124,20.21,16.97957302172231
125,21.49,16.882828554481026
126,20.9,15.763565586503585
127,20.49,17.380158227127854
128,22.45,17.009629625597377
129,22.28,17.540855167294428
130,21.83,16.04995638623358
131,21.03,17.284938530408493
132,19.65,15.806565091758548
133,21.04,17.457903654219194
134,20.53,16.781808603365725
135,19.42,15.280170156120644
136,23.53,17.169423403247997
137,22.64,16.45267151559284
138,19.84,16.71150501899814
139,18.89,15.612107481054569
140,17.3,15.038949431393146
141,18.86,15.121521087509683
142,20.13,16.749719400634742
