trail,mean,std
0,45.49,12.706293716107776
1,42.39,15.59929165058465
2,44.18,14.066541863585382
3,44.81,13.143587790249661
4,41.98,15.272183864791579
5,41.93,16.16802709052653
6,37.9,18.621224449536072
7,40.27,17.242885489383735
8,40.06,16.230107824657228
9,42.14,15.151910770592602
10,41.38,16.509863718395742
11,42.35,14.605735174923566
12,42.41,14.750657612459184
13,40.31,16.452777880953732
14,37.75,17.852380793608454
15,38.03,18.200799432991953
16,36.72,17.146474856366247
17,39.77,16.580021109757375
18,38.8,16.212957780738215
19,37.62,17.996544112690078
20,35.51,17.511993033347178
21,34.17,18.78885573950686
22,39.99,16.502421034502778
23,35.32,18.881673654631367
24,36.22,18.075165282785107
25,32.9,19.632880583347937
26,37.26,17.65821055486654
27,36.18,17.165302211146756
28,32.84,19.460585808243287
29,36.57,17.788341687745945
30,32.07,19.40064689643106
31,36.06,17.638491999034382
32,32.68,19.004146915870763
33,33.71,19.069501828836533
34,35.35,17.633136419820502
35,34.75,17.72871963792084
36,32.76,19.44382678384068
37,31.89,20.140950821646918
38,30.41,19.473107096711615
39,30.88,19.475256095877153
40,33.86,18.365195343366207
41,31.58,18.708383147669384
42,29.62,19.606009282870392
43,32.52,18.881461807815626
44,29.44,20.12178918486127
45,32.17,18.500840521446584
46,28.31,19.42971693051651
47,30.34,19.09775903083919
48,31.01,19.15019321051357
49,32.06,19.25243880655124
50,29.59,19.52695316735307
51,30.87,19.12153498022583
52,28.69,19.455433688304147
53,27.79,18.80813387872386
54,30.58,19.263011187246924
55,27.84,19.404494324769207
56,27.94,20.006908806709745
57,28.53,19.373412193003062
58,29.16,18.026491616507077
59,23.96,19.38448864427432
60,27.27,18.715691277641877
61,27.4,19.41854783448031
62,26.15,18.41650075340046
63,27.46,18.62708780244512
64,27.07,18.665612767868083
65,29.81,20.22953039494492
66,22.8,18.643497525947218
67,27.19,19.59270017123724
68,24.63,19.83313137152074
69,25.33,19.631635184059423
70,23.04,18.468849449816844
71,25.34,18.646833511349858
72,25.24,18.54244859774458
73,22.66,18.826162646699935
74,25.61,18.904441277117925
75,24.89,18.824927622702827
76,27.8,19.62192651092139
77,25.25,19.31236650439298
78,24.34,18.728171293535308
79,23.89,17.955998997549543
80,27.49,19.50615031214515
81,23.18,18.329418976061408
82,24.47,18.644814292451404
83,23.2,18.832418856854265
84,24.32,18.204878467048335
85,22.48,17.311545280534602
86,26.28,17.993376559167544
87,20.67,17.547680758436424
88,20.25,18.742665232031438
89,22.12,18.094352710168994
90,23.33,18.202777260627016
91,24.13,18.482237418667687
92,21.21,17.37889236976856
93,22.59,18.94628987427354
94,24.58,18.645203136463817
95,24.56,19.232430943591087
96,22.36,16.13785611535808
