trail,mean,std
0,46.92,10.494455679071681
1,48.39,7.318326311391149
2,45.26,13.159498470686486
3,47.02,10.360482614241482
4,46.78,11.059457491215381
5,42.25,16.928304699526176
6,45.63,11.439103985889801
7,42.23,15.806868760130817
8,43.77,13.864959430160638
9,42.85,15.231135873597882
10,41.62,15.747876047264267
11,45.18,11.897377862369513
12,42.93,14.62412732439101
13,42.08,16.0845764631836
14,40.81,16.28170445622938
15,42.05,15.9846019656418
16,42.94,14.56009615352866
17,40.52,16.391754024508785
18,40.44,17.229230975293113
19,39.6,17.003529045465825
20,41.53,15.557284467412693
21,41.35,16.17243024409132
22,40.4,15.965587994182984
23,38.85,17.995207695383776
24,39.94,16.86524236410495
25,39.58,16.494956805035912
26,40.18,16.538669837686477
27,40.81,15.787776917603054
28,37.79,16.686099004860306
29,39.82,16.36849412743884
30,38.08,17.456620520593326
31,39.1,17.429572570777523
32,39.21,16.85722100466148
33,34.98,18.952034191611194
34,38.18,18.485875689293163
35,40.14,16.323614795749137
36,38.22,17.67177410448652
37,38.43,17.419101584180517
38,35.51,18.36926509145099
39,41.2,15.278743403827418
40,36.99,17.423831381185934
41,35.79,18.413742150904575
42,38.14,17.732467397404115
43,36.43,16.982493927571408
44,37.6,17.954943608933995
45,36.05,18.799135618426728
46,36.12,17.055954971797966
47,35.58,18.259342814022627
48,35.57,18.17484800486651
49,35.09,18.698713859514502
50,34.62,18.71404819914707
51,35.16,18.84182581386423
52,34.23,19.29759311416842
53,33.53,20.025211609368835
54,35.63,18.702756481331825
55,34.8,18.252671037412586
56,33.54,19.240800399151798
57,35.69,17.860960220548055
58,33.82,18.912630700143218
59,34.06,18.769027678598587
60,36.14,17.987784744097876
61,35.07,18.49716464758857
62,32.44,19.44958611384828
63,30.52,18.864506354527265
64,33.97,18.617440747857902
65,33.14,19.431942774720184
66,32.3,18.581442355210214
67,33.92,18.476839556590836
68,31.56,19.613423974410992
69,32.47,19.56550791571739
70,33.78,19.577834405265566
71,31.57,19.798108495510377
72,31.24,19.190164147291714
73,33.16,18.77589944583214
74,34.61,18.011604592595297
75,34.07,19.216271750784536
76,31.87,19.105839421496253
77,36.82,18.08003318581025
78,31.41,19.291498127413547
79,28.01,19.521524018375203
80,33.76,18.153302729806498
81,29.44,20.29301357610545
82,31.12,19.825882073693464
83,31.14,19.769178030459436
84,30.21,19.661787812912642
85,32.37,19.570720477284436
86,28.24,19.821765814376874
87,30.21,19.27345065108996
88,26.38,19.826134267678103
89,30.84,19.837701479758188
90,31.53,18.273727041848904
91,26.39,19.44833926071838
92,29.36,19.92411604061771
93,27.26,19.354906354720498
94,29.36,19.083249199232295
95,29.18,19.815337493971676
96,28.45,19.481465550620154
97,29.07,19.02485479576651
98,27.12,18.9537753495181
99,29.13,19.498028105426453
100,31.1,18.224982853215522
101,27.65,19.42028578574476
102,28.71,20.146113769161538
103,30.49,19.191401720562258
104,30.35,19.2952714414698
105,29.28,19.084590642714865
106,29.55,20.29993842355193
107,28.89,19.46067573338603
108,25.17,18.76382423707918
109,29.7,19.96772395642527
110,28.83,19.55047569753739
111,29.11,19.76860895460275
112,27.86,19.388151020662075
113,26.97,18.46697322248559
114,27.8,19.284708968506628
115,27.02,19.248885682033645
116,28.28,19.430944392900717
117,27.26,19.800313128837136
118,29.01,18.794943468922696
119,28.07,19.165727223353667
120,28.78,18.986616338884613
121,27.18,19.84962468159033
122,24.71,19.302484296069256
123,26.69,18.86196967445341
124,25.39,19.516605749976094
125,25.23,17.633408632479426
126,26.55,19.462463872798835
127,25.5,19.0370691021491
128,28.03,18.88409648354932
129,23.78,18.93545880088465
130,27.39,19.55346260896008
